date,equity
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-08,100000.0
2024-01-09,100000.0
2024-01-10,100000.0
2024-01-11,100000.0
2024-01-12,100000.0
2024-01-15,100000.0
2024-01-16,100000.0
2024-01-17,100000.0
2024-01-18,100000.0
2024-01-19,100000.0
2024-01-22,100000.0
2024-01-23,100000.0
2024-01-24,100000.0
2024-01-25,100000.0
2024-01-26,100000.0
2024-01-29,100000.0
2024-01-30,100000.0
2024-01-31,100000.0
2024-02-01,99930.94036618853
2024-02-02,99975.17503000335
2024-02-05,100019.23979189423
2024-02-06,100063.13182613449
2024-02-07,100106.8483400329
2024-02-08,100150.3865745104
2024-02-09,100193.7438046698
2024-02-12,100236.91734035926
2024-02-13,100279.90452672838
2024-02-14,100322.70274477755
2024-02-15,100365.30941190003
2024-02-16,100407.72198241677
2024-02-19,100449.937948104
2024-02-20,100491.9548387131
2024-02-21,100533.77022248309
2024-02-22,100575.38170664507
2024-02-23,100616.78693791936
2024-02-26,100657.98360300402
2024-02-27,100698.96942905593
2024-02-28,100739.74218416336
2024-02-29,100780.29967781031
2024-03-01,100820.63976133263
2024-03-04,100860.76032836555
2024-03-05,100900.65931528264
2024-03-06,100940.33470162617
2024-03-07,100979.78451052876
2024-03-08,101019.00680912589
2024-03-11,101057.99970895989
2024-03-12,101096.76136637453
2024-03-13,101135.28998290063
2024-03-14,101173.58380563257
2024-03-15,101211.64112759524
2024-03-18,101249.46028810178
2024-03-19,101287.03967310191
2024-03-20,101324.37771552059
2024-03-21,101361.47289558711
2024-03-22,101398.32374115453
2024-03-25,101434.9288280093
2024-03-26,101471.28678017107
2024-03-27,101507.39627018265
2024-03-28,101543.2560193899
2024-03-29,101578.86479821167
2024-04-01,101614.2214263996
2024-04-02,101649.32477328775
2024-04-03,101684.17375803224
2024-04-04,101718.76734984016
2024-04-05,101753.10456818863
2024-04-08,101787.18448303327
2024-04-09,101821.00621500621
2024-04-10,101854.56893560378
2024-04-11,101887.87186736356
2024-04-12,101920.91428403094
2024-04-15,101953.69551071507
2024-04-16,101986.21492403421
2024-04-17,102018.47195225043
2024-04-18,102050.46607539337
2024-04-19,102082.1968253738
2024-04-22,102113.66378608573
2024-04-23,102144.86659349845
2024-04-24,102175.80493573713
2024-04-25,102206.47855315305
2024-04-26,102236.88723838268
2024-04-29,102267.03083639621
2024-04-30,102296.90924453476
2024-05-01,102326.5224125372
2024-05-02,102355.87034255563
2024-05-03,102384.9530891602
2024-05-06,102413.7707593331
2024-05-07,102442.3235124512
2024-05-08,102470.6115602584
2024-05-09,102498.63516682645
2024-05-10,102526.3946485054
2024-05-13,102553.89037386261
2024-05-14,102581.1227636114
2024-05-15,102608.09229052847
2024-05-16,102634.79947936047
2024-05-17,102661.24490671998
2024-05-20,102687.4292009703
2024-05-21,102713.35304209968
2024-05-22,102739.01716158474
2024-05-23,102764.4223422429
2024-05-24,102789.56941807445
2024-05-27,102814.45927409364
2024-05-28,102839.09284614903
2024-05-29,102863.47112073361
2024-05-30,102887.59513478384
2024-05-31,102911.46597546844
2024-06-03,102935.08477996655
2024-06-04,102958.45273523548
2024-06-05,102981.5710777679
2024-06-06,103004.44109333881
2024-06-07,103027.06411674213
2024-06-10,103049.4415315169
2024-06-11,103071.57476966357
2024-06-12,103093.4653113496
2024-06-13,103115.11468460572
2024-06-14,103136.52446501132
2024-06-17,103157.69627537043
2024-06-18,103178.63178537773
2024-06-19,103199.33271127447
2024-06-20,103219.80081549482
2024-06-21,103240.03790630252
2024-06-24,103260.04583741789
2024-06-25,103279.8265076352
2024-06-26,103299.38186043077
2024-06-27,103318.71388356155
2024-06-28,103337.8246086544
2024-07-01,103356.71611078622
2024-07-02,103375.39050805505
2024-07-03,103393.84996114192
2024-07-04,103412.09667286385
2024-07-05,103430.13288771805
